Date,Open,Low,High,Close
11/20/2013,100.18,99.75,100.246,99.96
11/21/2013,99.96,100,101.156,101.094
11/22/2013,101.094,100.92,101.35,101.32
11/25/2013,101.32,101.1,101.916,101.45
11/26/2013,101.45,101.14,101.653,101.277
11/27/2013,101.277,101.15,102.197,102.145
11/28/2013,102.145,101.91,102.372,102.242
11/29/2013,102.242,102.08,102.61,102.434
12/2/2013,102.434,102.2,103.13,103.017
12/3/2013,103.017,101.95,103.378,102.323
12/4/2013,102.323,101.79,102.84,102.25
12/5/2013,102.25,101.6,102.44,101.73
12/6/2013,101.73,101.6,102.96,102.87
12/9/2013,102.87,102.86,103.32,103.29
12/10/2013,103.29,102.55,103.392,102.78
12/11/2013,102.78,102.14,102.95,102.48
12/12/2013,102.48,102.37,103.342,103.303
12/13/2013,103.303,102.96,103.923,103.12
12/16/2013,103.12,102.62,103.29,103.01
12/17/2013,103.01,102.47,103.109,102.615
12/18/2013,102.615,102.53,103.859,103.81
12/19/2013,103.81,103.76,104.365,104.212
12/20/2013,104.212,103.83,104.64,104.03
12/23/2013,104.03,103.73,104.115,104.076
12/24/2013,104.076,104.11,104.411,104.27
12/25/2013,104.27,104.19,104.482,104.38
12/26/2013,104.38,104.4,104.848,104.738
12/27/2013,104.738,104.61,105.175,105.12
12/30/2013,105.12,104.94,105.412,105.079
12/31/2013,105.079,104.82,105.29,105.25
1/1/2014,105.25,105.23,105.27,105.26
1/2/2014,105.26,104.52,105.441,104.741
1/3/2014,104.741,104.03,104.869,104.759
1/6/2014,104.759,103.88,104.948,104.215
1/7/2014,104.215,104.15,104.733,104.52
1/8/2014,104.52,104.58,105.122,104.75
1/9/2014,104.75,104.55,105.06,104.75
1/10/2014,104.75,103.81,105.355,104.08
1/13/2014,104.08,102.82,104.109,102.94
1/14/2014,102.94,103,104.28,104.17
1/15/2014,104.17,104.07,104.69,104.563
1/16/2014,104.563,104.11,104.922,104.293
1/17/2014,104.293,104.17,104.474,104.27
1/20/2014,104.27,103.84,104.295,104.1
1/21/2014,104.1,103.99,104.749,104.332
1/22/2014,104.332,103.94,104.57,104.4
1/23/2014,104.4,102.94,104.84,103.17
1/24/2014,103.17,101.97,103.584,102.229
1/27/2014,102.229,101.88,102.93,102.705
1/28/2014,102.705,102.49,103.25,102.867
1/29/2014,102.867,101.82,103.418,102.147
1/30/2014,102.147,102.04,102.891,102.713
1/31/2014,102.713,101.92,102.933,102.13
2/3/2014,102.13,100.75,102.41,101.013
2/4/2014,101.013,100.73,101.663,101.646
2/5/2014,101.646,100.77,101.766,101.386
2/6/2014,101.386,101.21,102.171,102.122
2/7/2014,102.122,101.39,102.58,102.277
2/10/2014,102.277,101.97,102.643,102.225
2/11/2014,102.225,102.05,102.703,102.616
2/12/2014,102.616,102.19,102.648,102.47
2/13/2014,102.47,101.63,102.533,102.232
2/14/2014,102.232,101.54,102.407,101.833
2/17/2014,101.833,101.36,101.987,101.86
2/18/2014,101.86,101.74,102.743,102.336
2/19/2014,102.336,101.79,102.466,102.22
2/20/2014,102.22,101.64,102.42,102.315
2/21/2014,102.315,102.26,102.828,102.56
2/24/2014,102.56,102.13,102.68,102.465
2/25/2014,102.465,101.98,102.626,102.09
2/26/2014,102.09,102.05,102.61,102.34
2/27/2014,102.34,101.69,102.444,102.08
2/28/2014,102.08,101.52,102.292,101.773
3/3/2014,101.773,101.16,101.571,101.385
3/4/2014,101.385,101.36,102.273,102.262
3/5/2014,102.262,102.07,102.55,102.28
3/6/2014,102.28,102.29,103.167,103.048
3/7/2014,103.048,102.81,103.76,103.278
3/10/2014,103.278,102.91,103.405,103.24
3/11/2014,103.24,102.81,103.425,102.95
3/12/2014,102.95,102.51,103.1,102.638
3/13/2014,102.638,101.52,102.862,101.628
3/14/2014,101.628,101.18,101.87,101.33
3/17/2014,101.33,101.25,101.872,101.74
3/18/2014,101.74,101.24,101.941,101.391
3/19/2014,101.391,101.26,102.682,102.52
3/20/2014,102.52,102.17,102.548,102.407
3/21/2014,102.407,101.99,102.431,102.104
3/24/2014,102.104,102.1,102.646,102.238
3/25/2014,102.238,102.06,102.487,102.276
3/26/2014,102.276,101.89,102.471,102.048
3/27/2014,102.048,101.69,102.433,102.155
3/28/2014,102.155,102,102.982,102.807
3/31/2014,102.807,102.76,103.437,103.214
4/1/2014,103.214,103.05,103.711,103.679
4/2/2014,103.679,103.55,103.932,103.837
4/3/2014,103.837,103.77,104.114,103.94
4/4/2014,103.94,103.17,104.126,103.24
4/7/2014,103.24,102.97,103.41,103.15
4/8/2014,103.15,101.52,103.118,101.694
4/9/2014,101.694,101.69,102.158,101.974
4/10/2014,101.974,101.3,102.136,101.485
4/11/2014,101.485,101.3,101.87,101.62
4/14/2014,101.62,101.39,102.011,101.743
4/15/2014,101.743,101.46,101.994,101.804
4/16/2014,101.804,101.78,102.365,102.28
4/17/2014,102.28,101.84,102.458,102.45
4/18/2014,102.45,102.32,102.57,102.379
4/21/2014,102.379,102.36,102.706,102.602
4/22/2014,102.602,102.37,102.72,102.61
4/23/2014,102.61,102.145,102.692,102.44
4/24/2014,102.44,102.06,102.646,102.311
4/25/2014,102.311,101.93,102.497,102.165
4/28/2014,102.165,102.01,102.62,102.54
4/29/2014,102.54,102.43,102.782,102.566
4/30/2014,102.566,102,102.66,102.16
5/1/2014,102.16,102.1,102.366,102.304
5/2/2014,102.304,102.09,103.019,102.232
5/5/2014,102.232,101.83,102.243,102.1
5/6/2014,102.1,101.47,102.19,101.639
5/7/2014,101.639,101.4,102.007,101.825
5/8/2014,101.825,101.43,101.957,101.546
5/9/2014,101.546,101.52,101.853,101.81
5/12/2014,101.81,101.79,102.186,102.168
5/13/2014,102.168,102.03,102.364,102.271
5/14/2014,102.271,101.69,102.276,101.772
5/15/2014,101.772,101.29,102.116,101.54
5/16/2014,101.54,101.33,101.67,101.53
5/19/2014,101.53,101.07,101.598,101.389
5/20/2014,101.389,101.15,101.599,101.32
5/21/2014,101.32,100.798,101.619,101.406
5/22/2014,101.406,101.31,101.815,101.787
5/23/2014,101.787,101.57,102.005,101.977
5/26/2014,101.977,101.8,102.051,101.922
5/27/2014,101.922,101.7,102.141,101.97
5/28/2014,101.97,101.61,102.03,101.84
5/29/2014,101.84,101.39,101.834,101.7
5/30/2014,101.7,101.45,101.846,101.802
6/2/2014,101.802,101.72,102.482,102.427
6/3/2014,102.427,102.24,102.552,102.527
6/4/2014,102.527,102.4,102.796,102.713
6/5/2014,102.713,102.31,102.734,102.472
6/6/2014,102.472,102.088,102.611,102.49
6/9/2014,102.49,102.34,102.649,102.517
6/10/2014,102.517,102.18,102.573,102.327
6/11/2014,102.327,101.83,102.392,101.97
6/12/2014,101.97,101.57,102.143,101.623
6/13/2014,101.623,101.62,102.138,101.99
6/16/2014,101.99,101.69,102.09,101.842
6/17/2014,101.842,101.78,102.242,102.162
6/18/2014,102.162,101.85,102.358,101.947
6/19/2014,101.947,101.7,102.001,101.95
6/20/2014,101.95,101.78,102.196,102.101
6/23/2014,102.101,101.78,102.14,101.9
6/24/2014,101.9,101.79,102.167,101.922
6/25/2014,101.922,101.59,101.969,101.855
6/26/2014,101.855,101.46,101.857,101.691
6/27/2014,101.691,101.278,101.681,101.39
6/30/2014,101.39,101.21,101.472,101.318
7/1/2014,101.318,101.25,101.593,101.536
7/2/2014,101.536,101.37,101.843,101.808
7/3/2014,101.808,101.72,102.266,102.201
7/4/2014,102.201,101.94,102.221,102.07
7/7/2014,102.07,101.75,102.201,101.848
7/8/2014,101.848,101.46,101.89,101.52
7/9/2014,101.52,101.41,101.86,101.591
7/10/2014,101.591,101.04,101.631,101.293
7/11/2014,101.293,101.18,101.388,101.328
7/14/2014,101.328,101.333,101.623,101.565
7/15/2014,101.565,101.41,101.749,101.686
7/16/2014,101.686,101.636,101.793,101.72
7/17/2014,101.72,101.235,101.671,101.241
7/18/2014,101.241,101.091,101.449,101.353
7/21/2014,101.353,101.198,101.395,101.387
7/22/2014,101.387,101.335,101.603,101.456
7/23/2014,101.456,101.318,101.547,101.528
7/24/2014,101.528,101.418,101.859,101.814
7/25/2014,101.814,101.716,101.938,101.826
7/28/2014,101.826,101.752,101.908,101.87
7/29/2014,101.87,101.825,102.158,102.101
7/30/2014,102.101,102.04,103.09,102.85
7/31/2014,102.85,102.73,103.01,102.85
8/1/2014,102.85,102.34,103.03,102.584
8/4/2014,102.584,102.408,102.73,102.559
8/5/2014,102.559,102.464,102.925,102.593
8/6/2014,102.593,101.786,102.64,102.047
8/7/2014,102.047,102,102.46,102.009
8/8/2014,102.009,101.512,102.144,102.061
8/11/2014,102.061,102.026,102.226,102.218
8/12/2014,102.218,102.094,102.363,102.226
8/13/2014,102.226,102.226,102.545,102.456
8/14/2014,102.456,102.312,102.657,102.436
8/15/2014,102.436,102.139,102.716,102.342
8/18/2014,102.342,102.2,102.595,102.54
8/19/2014,102.54,102.523,102.92,102.89
8/20/2014,102.89,102.907,103.745,103.716
8/21/2014,103.716,103.601,103.959,103.81
8/22/2014,103.81,103.504,104.193,103.941
8/25/2014,103.941,103.864,104.46,103.982
8/26/2014,103.982,103.751,104.172,104.08
8/27/2014,104.08,103.782,104.161,103.86
8/28/2014,103.86,103.558,103.921,103.661
8/29/2014,103.661,103.658,104.107,104.037
9/1/2014,104.037,104.073,104.307,104.252
9/2/2014,104.252,104.298,105.213,105.06
9/3/2014,105.06,104.761,105.31,104.818
9/4/2014,104.818,104.761,105.365,105.119
9/5/2014,105.119,104.686,105.706,105.07
9/8/2014,105.07,104.947,106.087,105.99
9/9/2014,105.99,105.947,106.473,106.201
9/10/2014,106.201,106.044,106.885,106.8
9/11/2014,106.8,106.643,107.199,107.09
9/12/2014,107.09,107.016,107.396,107.314
